lad11cd,lad11nm,lsoa11,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17
E09000001,City of London,E01000001,6,6,6,9,8,8,4,10,11,12,10,12,10,10,17,16,19,12,12,15,7,7,15,12,12,15
E09000001,City of London,E01000002,4,8,5,10,6,12,10,8,7,9,9,10,10,17,10,10,7,6,16,13,8,12,12,11,6,8
E09000001,City of London,E01000003,7,10,4,18,11,7,9,6,10,11,10,7,12,11,12,14,8,11,16,17,14,19,9,10,14,16
E09000001,City of London,E01000005,14,10,10,13,13,19,14,17,10,9,8,15,12,11,15,6,10,5,12,15,11,12,16,11,12,9
E09000001,City of London,E01032739,9,2,10,4,7,4,4,5,4,9,8,9,9,9,10,7,4,9,6,11,6,13,11,11,6,14
E09000001,City of London,E01032740,3,3,4,4,1,2,5,2,7,3,9,9,9,5,5,5,6,11,14,8,10,8,5,7,8,6
E09000002,Barking and Dagenham,E01000006,15,12,16,13,14,13,11,19,27,21,22,27,22,31,36,29,24,37,29,31,42,24,46,33,38,45
E09000002,Barking and Dagenham,E01000007,35,29,34,23,20,22,24,35,29,47,35,37,29,41,28,39,42,33,55,50,43,39,46,72,85,89
E09000002,Barking and Dagenham,E01000008,53,52,51,32,32,32,24,34,38,28,35,34,46,35,39,47,29,35,28,46,35,38,43,32,44,31
E09000002,Barking and Dagenham,E01000009,25,16,13,15,22,17,21,21,27,20,26,31,26,33,42,36,40,40,38,37,51,39,45,40,41,36
E09000002,Barking and Dagenham,E01000010,29,27,32,26,26,33,28,29,47,39,27,30,26,49,33,40,50,55,63,83,82,84,86,92,82,86
E09000002,Barking and Dagenham,E01000011,28,21,37,17,22,17,28,22,29,20,25,35,29,26,29,31,31,47,30,41,33,35,42,45,35,34
E09000002,Barking and Dagenham,E01000012,33,27,34,22,30,36,39,39,28,40,42,49,27,62,47,50,62,80,66,67,66,72,67,52,67,62
E09000002,Barking and Dagenham,E01000013,20,22,14,24,10,21,9,18,17,15,13,11,27,21,25,20,20,32,33,30,27,28,30,23,30,32
E09000002,Barking and Dagenham,E01000014,17,21,15,21,15,19,25,18,9,21,24,16,26,30,35,38,34,26,30,40,25,26,29,29,32,22
E09000002,Barking and Dagenham,E01000015,16,17,15,13,13,23,14,14,14,18,15,25,20,27,29,45,66,60,66,66,46,54,55,48,47,44
E09000002,Barking and Dagenham,E01000016,21,25,15,22,18,10,18,21,26,21,20,26,20,23,26,11,30,33,22,29,29,32,25,31,30,26
E09000002,Barking and Dagenham,E01000017,27,22,23,15,20,19,18,20,19,18,20,16,17,15,26,24,35,36,33,35,37,33,38,24,27,35
E09000002,Barking and Dagenham,E01000018,19,13,29,22,17,19,23,21,12,28,10,22,30,24,35,27,28,25,25,31,39,28,31,26,28,31
E09000002,Barking and Dagenham,E01000019,23,16,33,21,22,9,24,21,17,16,14,13,14,23,20,30,26,29,26,24,25,24,27,30,33,24
E09000002,Barking and Dagenham,E01000020,23,23,24,24,15,21,22,17,17,29,20,21,26,27,25,28,34,31,31,29,30,34,35,22,29,32
E09000002,Barking and Dagenham,E01000021,28,30,28,26,32,33,33,31,19,25,21,29,26,21,23,31,24,31,43,26,31,35,28,24,34,20
E09000002,Barking and Dagenham,E01000022,30,18,16,14,13,16,18,22,14,16,13,14,25,23,23,32,26,24,24,35,27,25,21,31,31,24
E09000002,Barking and Dagenham,E01000023,10,7,12,14,18,12,13,8,10,13,10,15,16,12,21,16,24,21,28,34,50,75,58,94,106,120
E09000002,Barking and Dagenham,E01000024,18,17,12,20,18,17,14,12,12,7,16,10,12,17,21,23,26,27,15,26,20,24,28,24,31,23
E09000002,Barking and Dagenham,E01000025,15,13,21,13,8,21,21,18,25,20,21,23,25,21,21,26,25,41,28,20,31,31,24,38,29,22
E09000002,Barking and Dagenham,E01000027,10,14,16,27,26,27,23,20,29,19,20,23,24,20,19,25,27,25,29,22,29,27,25,27,39,38
